Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
5,"H. Liu","Comprehensive evaluation of flue gas desulfurization and denitrification technologies of six typical enterprises in Chengdu, China",2020,"Environmental Science and Pollution Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089447682&origin=inward",93,"2023-12-15 21:21:59","Article","10.1007/s11356-020-10460-5","0944-1344","https://api.elsevier.com/content/abstract/scopus_id/85089447682",27,36,45824,45835,5,1.67,5,1,3,"","",""
7,"H. Lu","Automatic control and optimal operation for greenhouse gas mitigation in sustainable wastewater treatment plants: A review",2023,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969722059484","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85138463397&origin=inward",74,"2023-12-15 21:21:59","Review","10.1016/j.scitotenv.2022.158849","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85138463397",855,,,,7,7.00,7,1,1,"","",""
55,"H. Pasalari","Landfill site selection using a hybrid system of AHP-Fuzzy in GIS environment: A case study in Shiraz city, Iran",2019,"MethodsX","","https://api.elsevier.com/content/article/eid/1-s2.0-S2215016119301669","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067481044&origin=inward",7,"2023-12-15 21:21:59","Article","10.1016/j.mex.2019.06.009","2215-0161","https://api.elsevier.com/content/abstract/scopus_id/85067481044",6,,1454,1466,55,13.75,55,1,4,"","",""
2,"H. Rezk","Boosting CO<inf>2</inf> Uptake from Waste Concrete Powder Using Artificial Intelligence and the Marine Predators Algorithm",2023,"Processes","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85172806276&origin=inward",118,"2023-12-15 21:21:59","Article","10.3390/pr11092655","2227-9717","https://api.elsevier.com/content/abstract/scopus_id/85172806276",11,9,,,2,2.00,2,1,1,"","",""
0,"H. Yang","Optimization of Ecological Water Replenishment Scheme Based on the Interval Fuzzy Two-Stage Stochastic Programming Method: Boluo Lake National Nature Reserve, Jilin Province, China",2022,"International Journal of Environmental Research and Public Health","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128789499&origin=inward",196,"2023-12-15 21:21:59","Article","10.3390/ijerph19095218","1661-7827","https://api.elsevier.com/content/abstract/scopus_id/85128789499",19,9,,,0,0.00,0,1,1,"","",""
1,"H. Zhang","Investigating a water resource allocation model by using interval fuzzy two‐stage robust planning for the yinma river basin, jilin province, china",2021,"Water (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117746267&origin=inward",156,"2023-12-15 21:21:59","Article","10.3390/w13212974","2073-4441","https://api.elsevier.com/content/abstract/scopus_id/85117746267",13,21,,,1,0.50,1,1,2,"","",""
10,"H.G. Han","Type-2 fuzzy broad learning controller for wastewater treatment process",2021,"Neurocomputing","","https://api.elsevier.com/content/article/eid/1-s2.0-S0925231221010043","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110122958&origin=inward",66,"2023-12-15 21:21:59","Article","10.1016/j.neucom.2021.06.074","0925-2312","https://api.elsevier.com/content/abstract/scopus_id/85110122958",459,,188,200,10,5.00,10,1,2,"","",""
2,"H.H. Tsao","A method of multi-stage reservoir water level forecasting systems: A case study of techi hydropower in Taiwan",2021,"Energies","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108356645&origin=inward",133,"2023-12-15 21:21:59","Article","10.3390/en14123461","1996-1073","https://api.elsevier.com/content/abstract/scopus_id/85108356645",14,12,,,2,1.00,2,1,2,"","",""
9,"H.S.H. Wang","Machine learning for sustainable development and applications of biomass and biomass-derived carbonaceous materials in water and agricultural systems: A review",2023,"Resources, Conservation and Recycling","","https://api.elsevier.com/content/article/eid/1-s2.0-S0921344922006796","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146012457&origin=inward",68,"2023-12-15 21:21:59","Review","10.1016/j.resconrec.2022.106847","0921-3449","https://api.elsevier.com/content/abstract/scopus_id/85146012457",190,,,,9,9.00,9,1,1,"","",""
21,"H.X. Liu","Urban agglomeration (Guangzhou-Foshan-Zhaoqing) ecosystem management under uncertainty: A factorial fuzzy chance-constrained programming method",2019,"Environmental Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S001393511930146X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063091354&origin=inward",31,"2023-12-15 21:21:59","Article","10.1016/j.envres.2019.03.018","0013-9351","https://api.elsevier.com/content/abstract/scopus_id/85063091354",173,,97,111,21,5.25,21,1,4,"","",""
1,"I. Zorluer","Fuzzy logic assessment of engineering properties of granular soil with wastes for environment protection and road base use",2021,"Case Studies in Construction Materials","","https://api.elsevier.com/content/article/eid/1-s2.0-S2214509521002898","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119613997&origin=inward",155,"2023-12-15 21:21:59","Article","10.1016/j.cscm.2021.e00774","2214-5095","https://api.elsevier.com/content/abstract/scopus_id/85119613997",15,,,,1,0.50,1,1,2,"","",""
23,"I.D. Amoah","Effect of selected wastewater characteristics on estimation of SARS-CoV-2 viral load in wastewater",2022,"Environmental Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0013935121011713","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112496326&origin=inward",29,"2023-12-15 21:21:59","Article","10.1016/j.envres.2021.111877","0013-9351","https://api.elsevier.com/content/abstract/scopus_id/85112496326",203,,,,23,23.00,23,1,1,"","",""
1,"J. Chen","Hydrochemical Characteristics and Quality Assessment of Shallow Groundwater in Poultry Farming Sites in Suzhou City, China",2022,"Polish Journal of Environmental Studies","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85138709453&origin=inward",144,"2023-12-15 21:21:59","Article","10.15244/pjoes/148190","1230-1485","https://api.elsevier.com/content/abstract/scopus_id/85138709453",31,5,4071,4084,1,1.00,1,1,1,"","",""
0,"J. Dai","Equilibrium Strategy Based Carbon Dioxide Emission Reduction and Waste Water Reuse of Coal Chemical Enterprise",2019,"Lecture Notes on Multidisciplinary Industrial Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85161457686&origin=inward",174,"2023-12-15 21:21:59","Book Chapter","10.1007/978-3-319-93351-1_18","2522-5022","https://api.elsevier.com/content/abstract/scopus_id/85161457686",,,211,223,0,0.00,0,1,4,"","",""
30,"J. Li","A two-stage water allocation strategy for developing regional economic-environment sustainability",2019,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479719302683","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065848572&origin=inward",24,"2023-12-15 21:21:59","Article","10.1016/j.jenvman.2019.02.108","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/85065848572",244,,189,198,30,7.50,30,1,4,"","",""
3,"J. Tian","Quantitative Assessment of the Ecological Vulnerability of Baiyangdian Wetlands in the North China Plain",2021,"Journal of Resources and Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119993356&origin=inward",108,"2023-12-15 21:21:59","Article","10.5814/j.issn.1674-764x.2021.06.009","1674-764X","https://api.elsevier.com/content/abstract/scopus_id/85119993356",12,6,814,821,3,1.50,3,1,2,"","",""
12,"J. Xu","Energy and exergy co-optimization of IGCC with lower emissions based on fuzzy supervisory predictive control",2020,"Energy Reports","","https://api.elsevier.com/content/article/eid/1-s2.0-S2352484719307048","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078093702&origin=inward",59,"2023-12-15 21:21:59","Article","10.1016/j.egyr.2020.01.003","2352-4847","https://api.elsevier.com/content/abstract/scopus_id/85078093702",6,,272,285,12,4.00,12,1,3,"","",""
3,"J. Xu","Industrial decarbonisation oriented distributed renewable generation towards wastewater treatment sector: Case from the Yangtze River Delta region in China",2022,"Energy","","https://api.elsevier.com/content/article/eid/1-s2.0-S0360544222014657","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133691271&origin=inward",106,"2023-12-15 21:21:59","Article","10.1016/j.energy.2022.124562","0360-5442","https://api.elsevier.com/content/abstract/scopus_id/85133691271",256,,,,3,3.00,3,1,1,"","",""
7,"J. Yanbo","Bioaugmentation Technology for Treatment of Toxic and Refractory Organic Waste Water Based on Artificial Intelligence",2021,"Frontiers in Bioengineering and Biotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85110631494&origin=inward",78,"2023-12-15 21:21:59","Article","10.3389/fbioe.2021.696166","2296-4185","https://api.elsevier.com/content/abstract/scopus_id/85110631494",9,,,,7,3.50,7,1,2,"","",""
2,"J. Zhang","Environmental Assessment of Low-Grade Highway based on AHP-FCE Method",2021,"ACM International Conference Proceeding Series","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123048219&origin=inward",130,"2023-12-15 21:21:59","Conference Paper","10.1145/3494583.3494638","","https://api.elsevier.com/content/abstract/scopus_id/85123048219",,,393,398,2,1.00,2,1,2,"","",""
13,"J.O. Oladipo","Fuzzy Logic Interference for Characterization of Surface Water Potability in Ikare Rural Community, Nigeria",2020,"Journal of Geovisualization and Spatial Analysis","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088043341&origin=inward",56,"2023-12-15 21:21:59","Article","10.1007/s41651-019-0044-z","2509-8829","https://api.elsevier.com/content/abstract/scopus_id/85088043341",4,1,,,13,4.33,13,1,3,"","",""
2,"J.O.P. Nayagam","Response surface methodology and adaptive neuro-fuzzy inference system for adsorption of reactive orange 16 by hydrochar",2023,"Global Journal of Environmental Science and Management","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85148247038&origin=inward",120,"2023-12-15 21:21:59","Article","10.22035/gjesm.2023.03.02","2383-3572","https://api.elsevier.com/content/abstract/scopus_id/85148247038",9,3,373,388,2,2.00,2,1,1,"","",""
4,"K. Aghilesh","Use of artificial intelligence for optimizing biosorption of textile wastewater using agricultural waste",2023,"Environmental Technology (United Kingdom)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146193355&origin=inward",96,"2023-12-15 21:21:59","Article","10.1080/09593330.2021.1961874","0959-3330","https://api.elsevier.com/content/abstract/scopus_id/85146193355",44,1,22,34,4,4.00,4,1,1,"","",""
16,"K. Baghizadeh","Sustainable agriculture supply chain network design considering water-energy-food nexus using queuing system: A hybrid robust possibilistic programming",2022,"Natural Resource Modeling","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121542947&origin=inward",46,"2023-12-15 21:21:59","Article","10.1111/nrm.12337","0890-8575","https://api.elsevier.com/content/abstract/scopus_id/85121542947",35,1,,,16,16.00,16,1,1,"","",""
3,"K. Liu","Study on LID Facilities Comprehensive Effect Evaluation: A case in Campus",2022,"Ecohydrology and Hydrobiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S1642359322000325","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85131600275&origin=inward",107,"2023-12-15 21:21:59","Article","10.1016/j.ecohyd.2022.04.001","1642-3593","https://api.elsevier.com/content/abstract/scopus_id/85131600275",22,3,530,540,3,3.00,3,1,1,"","",""
18,"K. Ren","Bi-objective optimization of water management in shale gas exploration with uncertainty: A case study from Sichuan, China",2019,"Resources, Conservation and Recycling","","https://api.elsevier.com/content/article/eid/1-s2.0-S0921344919300035","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059670112&origin=inward",41,"2023-12-15 21:21:59","Article","10.1016/j.resconrec.2019.01.003","0921-3449","https://api.elsevier.com/content/abstract/scopus_id/85059670112",143,,226,235,18,4.50,18,1,4,"","",""
2,"K. Srivastava","A Proposed Fuzzy Logic Model for Waste Water Treatment Analysis",2022,"Lecture Notes in Networks and Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134345031&origin=inward",125,"2023-12-15 21:21:59","Conference Paper","10.1007/978-981-19-3089-8_39","2367-3370","https://api.elsevier.com/content/abstract/scopus_id/85134345031",480,,403,415,2,2.00,2,1,1,"","",""
50,"K. Yang","The identification, health risks and olfactory effects assessment of VOCs released from the wastewater storage tank in a pesticide plant",2019,"Ecotoxicology and Environmental Safety","","https://api.elsevier.com/content/article/eid/1-s2.0-S0147651319309960","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071992241&origin=inward",10,"2023-12-15 21:21:59","Article","10.1016/j.ecoenv.2019.109665","0147-6513","https://api.elsevier.com/content/abstract/scopus_id/85071992241",184,,,,50,12.50,50,1,4,"","",""
205,"K.B. Newhart","Data-driven performance analyses of wastewater treatment plants: A review",2019,"Water Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0043135419302490","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064501867&origin=inward",1,"2023-12-15 21:21:59","Review","10.1016/j.watres.2019.03.030","0043-1354","https://api.elsevier.com/content/abstract/scopus_id/85064501867",157,,498,513,205,51.25,205,1,4,"","",""
6,"K.S. Chen","Evaluating the environmental protection strategy of a printed circuit board manufacturer using a T<inf>w</inf> fuzzy importance performance analysis with Google Trends",2020,"Expert Systems with Applications","","https://api.elsevier.com/content/article/eid/1-s2.0-S0957417420303079","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084185749&origin=inward",85,"2023-12-15 21:21:59","Article","10.1016/j.eswa.2020.113483","0957-4174","https://api.elsevier.com/content/abstract/scopus_id/85084185749",156,,,,6,2.00,6,1,3,"","",""
4,"L. Abdullah","Pythagorean Fuzzy Hamacher Choquet integral operators and their application to multi-criteria decision making",2019,"Journal of Intelligent and Fuzzy Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069464135&origin=inward",105,"2023-12-15 21:21:59","Article","10.3233/JIFS-182704","1064-1246","https://api.elsevier.com/content/abstract/scopus_id/85069464135",37,1,1259,1274,4,1.00,4,1,4,"","",""
4,"L. Duarte","An Interactive WebGIS Integrating Environmental Susceptibility Mapping in a Self-Burning Waste Pile Using a Multi-Criteria Decision Analysis Approach",2022,"Geosciences (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85140636672&origin=inward",99,"2023-12-15 21:21:59","Article","10.3390/geosciences12100352","2076-3263","https://api.elsevier.com/content/abstract/scopus_id/85140636672",12,10,,,4,4.00,4,1,1,"","",""
2,"L. Liu","An attempt to evaluate the green construction of large-scale hydropower projects: Taking wudongde hydropower station on the jinsha river, China as an example",2022,"Sustainability (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121835911&origin=inward",131,"2023-12-15 21:21:59","Article","10.3390/su14010194","2071-1050","https://api.elsevier.com/content/abstract/scopus_id/85121835911",14,1,,,2,2.00,2,1,1,"","",""
0,"M. Abramovitch","Stakeholder-driven multi-objective optimization of a modular food waste valorization process",2020,"AIChE Annual Meeting, Conference Proceedings","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106201213&origin=inward",199,"2023-12-15 21:21:59","Conference Paper","","","https://api.elsevier.com/content/abstract/scopus_id/85106201213",2020,,,,0,0.00,0,1,3,"","",""
1,"M. Almuhisen","The most common factors effecting ground water quality",2019,"International Journal of Innovative Technology and Exploring Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060757592&origin=inward",163,"2023-12-15 21:21:59","Article","","2278-3075","https://api.elsevier.com/content/abstract/scopus_id/85060757592",8,3,79,83,1,0.25,1,1,4,"","",""
17,"M. Amiri","Modification of the Thomas model for predicting unsymmetrical breakthrough curves using an adaptive neural-based fuzzy inference system",2019,"Journal of Water and Health","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061481835&origin=inward",45,"2023-12-15 21:21:59","Article","10.2166/wh.2019.210","1477-8920","https://api.elsevier.com/content/abstract/scopus_id/85061481835",17,1,25,36,17,4.25,17,1,4,"","",""
38,"M. Asadi","Biogas production estimation using data-driven approaches for cold region municipal wastewater anaerobic digestion",2020,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479719314264","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073669199&origin=inward",18,"2023-12-15 21:21:59","Article","10.1016/j.jenvman.2019.109708","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/85073669199",253,,,,38,12.67,38,1,3,"","",""
19,"M. Asadi","Biogas maximization using data-driven modelling with uncertainty analysis and genetic algorithm for municipal wastewater anaerobic digestion",2021,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479721009373","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107140741&origin=inward",33,"2023-12-15 21:21:59","Article","10.1016/j.jenvman.2021.112875","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/85107140741",293,,,,19,9.50,19,1,2,"","",""
13,"M. Bahramian","Data to intelligence: The role of data-driven models in wastewater treatment",2023,"Expert Systems with Applications","","https://api.elsevier.com/content/article/eid/1-s2.0-S0957417422024721","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146253695&origin=inward",53,"2023-12-15 21:21:59","Review","10.1016/j.eswa.2022.119453","0957-4174","https://api.elsevier.com/content/abstract/scopus_id/85146253695",217,,,,13,13.00,13,1,1,"","",""
1,"M. Clutter","Robust Predictive Design of Field Measurements for Evapotranspiration Barriers Using Universal Multiple linear Regression",2019,"Water Resources Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074753374&origin=inward",162,"2023-12-15 21:21:59","Article","10.1029/2019WR026194","0043-1397","https://api.elsevier.com/content/abstract/scopus_id/85074753374",55,11,8478,8491,1,0.25,1,1,4,"","",""
50,"M. Dolatabadi","Adsorption of tetracycline antibiotic onto modified zeolite: Experimental investigation and modeling",2020,"MethodsX","","https://api.elsevier.com/content/article/eid/1-s2.0-S2215016120301047","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85083567405&origin=inward",9,"2023-12-15 21:21:59","Article","10.1016/j.mex.2020.100885","2215-0161","https://api.elsevier.com/content/abstract/scopus_id/85083567405",7,,,,50,16.67,50,1,3,"","",""
6,"M. Ghasemi","A comparative study of black-box and white-box data-driven methods to predict landfill leachate permeability",2023,"Environmental Monitoring and Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85162202942&origin=inward",81,"2023-12-15 21:21:59","Article","10.1007/s10661-023-11462-9","0167-6369","https://api.elsevier.com/content/abstract/scopus_id/85162202942",195,7,,,6,6.00,6,1,1,"","",""
16,"M. Ghorbani Mooselu","A fuzzy multi-stakeholder socio-optimal model for water and waste load allocation",2019,"Environmental Monitoring and Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065664255&origin=inward",50,"2023-12-15 21:21:59","Article","10.1007/s10661-019-7504-2","0167-6369","https://api.elsevier.com/content/abstract/scopus_id/85065664255",191,6,,,16,4.00,16,1,4,"","",""
13,"M. Islam","Integrating spatial information technologies and fuzzy analytic hierarchy process (F-AHP) approach for landfill siting",2020,"City and Environment Interactions","","https://api.elsevier.com/content/article/eid/1-s2.0-S259025202030026X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100485081&origin=inward",55,"2023-12-15 21:21:59","Article","10.1016/j.cacint.2020.100045","2590-2520","https://api.elsevier.com/content/abstract/scopus_id/85100485081",7,,,,13,4.33,13,1,3,"","",""
125,"M. Kamali","Sustainability criteria for assessing nanotechnology applicability in industrial wastewater treatment: Current status and future outlook",2019,"Environment International","","https://api.elsevier.com/content/article/eid/1-s2.0-S016041201832350X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060956099&origin=inward",4,"2023-12-15 21:21:59","Article","10.1016/j.envint.2019.01.055","0160-4120","https://api.elsevier.com/content/abstract/scopus_id/85060956099",125,,261,276,125,31.25,125,1,4,"","",""
16,"M. Mahmoudi","Site selection for artificial recharge with treated wastewater with the integration of multi-criteria evaluation and ELECTRE III",2021,"Environmental Science and Pollution Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099350316&origin=inward",47,"2023-12-15 21:21:59","Note","10.1007/s11356-021-12354-6","0944-1344","https://api.elsevier.com/content/abstract/scopus_id/85099350316",28,34,46748,46763,16,8.00,16,1,2,"","",""
18,"M. Mokhtari Nesfchi","Fabrication of plasmonic nanoparticles / cobalt doped TiO<inf>2</inf> nanosheets for degradation of tetracycline and modeling the process by artificial intelligence techniques",2021,"Materials Science in Semiconductor Processing","","https://api.elsevier.com/content/article/eid/1-s2.0-S1369800120313998","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85092020282&origin=inward",37,"2023-12-15 21:21:59","Article","10.1016/j.mssp.2020.105465","1369-8001","https://api.elsevier.com/content/abstract/scopus_id/85092020282",122,,,,18,9.00,18,1,2,"","",""
0,"M. Razani","Assessment of Lime-Based Mortars to Conservation of Architectural Remains from Archaeological Excavations",2020,"Journal of Archaeological Studies","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85150638843&origin=inward",183,"2023-12-15 21:21:59","Article","10.22059/jarcs.2020.271630.142655","2251-9297","https://api.elsevier.com/content/abstract/scopus_id/85150638843",12,3,65,91,0,0.00,0,1,3,"","",""
0,"M. Sun","Research and application of key technologies for intelligent control of steam flooding",2022,"2022 4th International Conference on Intelligent Control, Measurement and Signal Processing, ICMSP 2022","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85138118910&origin=inward",188,"2023-12-15 21:21:59","Conference Paper","10.1109/ICMSP55950.2022.9859181","","https://api.elsevier.com/content/abstract/scopus_id/85138118910",,,639,643,0,0.00,0,1,1,"","",""
14,"M. Taki","Machine learning models for prediction the Higher Heating Value (HHV) of Municipal Solid Waste (MSW) for waste-to-energy evaluation",2022,"Case Studies in Thermal Engineering","","https://api.elsevier.com/content/article/eid/1-s2.0-S2214157X22000697","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123838901&origin=inward",51,"2023-12-15 21:21:59","Article","10.1016/j.csite.2022.101823","2214-157X","https://api.elsevier.com/content/abstract/scopus_id/85123838901",31,,,,14,14.00,14,1,1,"","",""
0,"M. Wahba","Use of waste activated carbon and wood ash mixture as an electrical grounding enhancement material",2023,"International Journal of Emerging Electric Power Systems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85172691775&origin=inward",170,"2023-12-15 21:21:59","Article","10.1515/ijeeps-2023-0120","2194-5756","https://api.elsevier.com/content/abstract/scopus_id/85172691775",,,,,0,0.00,0,1,1,"","",""
10,"M. Wang","Application of AHP-FCE evaluation on the pulping and papermaking water pollution control technology",2021,"Journal of Forestry Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85113602655&origin=inward",65,"2023-12-15 21:21:59","Article","10.13360/j.issn.2096-1359.202007017","2096-1359","https://api.elsevier.com/content/abstract/scopus_id/85113602655",6,4,107,113,10,5.00,10,1,2,"","",""
1,"M. Yörükoğlu","Assessment of Smart Waste Management Systems with Spherical AHP Method",2022,"IFIP Advances in Information and Communication Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85126178271&origin=inward",152,"2023-12-15 21:21:59","Conference Paper","10.1007/978-3-030-96592-1_3","1868-4238","https://api.elsevier.com/content/abstract/scopus_id/85126178271",637,,32,43,1,1.00,1,1,1,"","",""
16,"M.A. Dalhat","Utilization of micronized recycled polyethylene waste to improve the hydrophobicity of asphalt surfaces",2020,"Construction and Building Materials","","https://api.elsevier.com/content/article/eid/1-s2.0-S0950061819334191","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85077321172&origin=inward",49,"2023-12-15 21:21:59","Article","10.1016/j.conbuildmat.2019.117966","0950-0618","https://api.elsevier.com/content/abstract/scopus_id/85077321172",240,,,,16,5.33,16,1,3,"","",""
4,"M.A. Elhosseini","Heat recovery steam generator (HRSG) three-element drum level control utilizing Fractional order PID and fuzzy controllers",2022,"ISA Transactions","","https://api.elsevier.com/content/article/eid/1-s2.0-S0019057821002329","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105258725&origin=inward",103,"2023-12-15 21:21:59","Article","10.1016/j.isatra.2021.04.035","0019-0578","https://api.elsevier.com/content/abstract/scopus_id/85105258725",122,,281,293,4,4.00,4,1,1,"","",""
1,"M.A. Misrol","Multi-objective Optimization of an Integrated Energy-Water-Waste Nexus for Eco-Industrial Park",2021,"Chemical Engineering Transactions","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85122586391&origin=inward",153,"2023-12-15 21:21:59","Article","10.3303/CET2189059","2283-9216","https://api.elsevier.com/content/abstract/scopus_id/85122586391",89,,349,354,1,0.50,1,1,2,"","",""
1,"M.H. Hafezi","A Cluster-Based Technique for Identifying and Grouping Oily Waste Types Generated From Marine Oil Spill Response Operations",2022,"Frontiers in Environmental Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133358117&origin=inward",147,"2023-12-15 21:21:59","Article","10.3389/fenvs.2022.910214","2296-665X","https://api.elsevier.com/content/abstract/scopus_id/85133358117",10,,,,1,1.00,1,1,1,"","",""
41,"M.H.A. Azqhandi","A highly effective, recyclable, and novel host-guest nanocomposite for Triclosan removal: A comprehensive modeling and optimization-based adsorption study",2019,"Journal of Colloid and Interface Science","","https://api.elsevier.com/content/article/eid/1-s2.0-S0021979719305454","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065242279&origin=inward",15,"2023-12-15 21:21:59","Article","10.1016/j.jcis.2019.05.007","0021-9797","https://api.elsevier.com/content/abstract/scopus_id/85065242279",551,,195,207,41,10.25,41,1,4,"","",""
0,"M.T. Alresheedi","Sustainability of a Low-Cost Decentralized Treatment System for Wastewater Reuse: Resident Perception-Based Evaluation for Arid Regions",2023,"Water (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85173802901&origin=inward",168,"2023-12-15 21:21:59","Article","10.3390/w15193458","2073-4441","https://api.elsevier.com/content/abstract/scopus_id/85173802901",15,19,,,0,0.00,0,1,1,"","",""
3,"M.V. Caya","Development of ET-Based Irrigation System in Green Roofs Using Penman-Monteith Equation",2019,"2019 IEEE 11th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management, HNICEM 2019","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084744345&origin=inward",115,"2023-12-15 21:21:59","Conference Paper","10.1109/HNICEM48295.2019.9072864","","https://api.elsevier.com/content/abstract/scopus_id/85084744345",,,,,3,0.75,3,1,4,"","",""
0,"N. Azizi","Removal of most frequent microplastic types and sizes in secondary effluent using Al<inf>2</inf>(SO<inf>4</inf>)<inf>3</inf>: choosing variables by a fuzzy Delphi method",2023,"Scientific Reports","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85177697866&origin=inward",164,"2023-12-15 21:21:59","Article","10.1038/s41598-023-47803-4","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85177697866",13,1,,,0,0.00,0,1,1,"","",""
